"Player Name","POS","NFL Team","Fantasy Team","Sleeper ID","✏️ Contract Years","✏️ Tag Status","✏️ Exemption","✏️ Notes"
"Justin Fields","QB","KC","Amon-Ra Doggin","7591","2","None","None",""
"Will Levis","QB","TEN","Amon-Ra Doggin","9999","2","None","None",""
"Christian McCaffrey","RB","SF","Amon-Ra Doggin","4034","2","None","None",""
"Derrick Henry","RB","BAL","Amon-Ra Doggin","3198","1","true","2025",""
"Jahmyr Gibbs","RB","DET","Amon-Ra Doggin","9221","4","None","None",""
"Travis Etienne","RB","NO","Amon-Ra Doggin","7543","1","None","None",""
"Jaydon Blue","RB","DAL","Amon-Ra Doggin","12457","3","None","None",""
"Rico Dowdle","RB","PIT","Amon-Ra Doggin","7021","1","None","None",""
"Amon-Ra St. Brown","WR","DET","Amon-Ra Doggin","7547","5","true","2025",""
"Justin Jefferson","WR","MIN","Amon-Ra Doggin","6794","5","None","2024",""
"Troy Franklin","WR","DEN","Amon-Ra Doggin","11627","3","None","None",""
"Calvin Ridley","WR","TEN","Amon-Ra Doggin","4981","1","None","None",""
"Davante Adams","WR","LAR","Amon-Ra Doggin","2133","1","None","None",""
"Diontae Johnson","WR","FA","Amon-Ra Doggin","5937","1","None","None",""
"Jack Bech","WR","LV","Amon-Ra Doggin","12483","3","None","None",""
"Marquez Valdes-Scantling","WR","FA","Amon-Ra Doggin","5086","","None","None",""
"Juwan Johnson","TE","NO","Amon-Ra Doggin","7002","","None","None",""
"Jonnu Smith","TE","FA","Amon-Ra Doggin","4144","","None","None",""
"Mark Andrews","TE","BAL","Amon-Ra Doggin","5012","","None","None",""
"JAX","DEF","JAX","Amon-Ra Doggin","JAX","","None","None",""
"BUF","DEF","BUF","Amon-Ra Doggin","BUF","","None","None",""
"GB","DEF","GB","Amon-Ra Doggin","GB","","None","None",""
"Tyler Shough","QB","NO","Coach","12545","","None","None",""
"Bryce Young","QB","CAR","Coach","9228","4","None","None",""
"Jayden Daniels","QB","WAS","Coach","11566","5","None","None",""
"Ashton Jeanty","RB","LV","Coach","12527","6","None","None",""
"James Cook","RB","BUF","Coach","8138","1","None","None",""
"Jonathan Taylor","RB","IND","Coach","6813","2","None","None",""
"Audric Estime","RB","NO","Coach","11579","1","None","None",""
"Bhayshul Tuten","RB","JAX","Coach","12490","3","None","None",""
"Dameon Pierce","RB","PHI","Coach","8129","2","None","None",""
"CeeDee Lamb","WR","DAL","Coach","6786","4","true","2025",""
"Jayden Reed","WR","GB","Coach","10222","2","None","None",""
"Tee Higgins","WR","CIN","Coach","6801","3","true","2025",""
"DK Metcalf","WR","PIT","Coach","5846","1","None","None",""
"DeMario Douglas","WR","NE","Coach","9501","2","None","None",""
"Isaac TeSlaa","WR","DET","Coach","12535","1","None","None",""
"Kayshon Boutte","WR","NE","Coach","9504","","None","None",""
"Malachi Corley","WR","CLE","Coach","11617","2","None","None",""
"Michael Pittman","WR","PIT","Coach","6819","3","None","None",""
"Ryan Flournoy","WR","DAL","Coach","11783","","None","None",""
"Tank Dell","WR","HOU","Coach","9502","1","None","None",""
"Dalton Schultz","TE","HOU","Coach","5001","1","None","None",""
"Kyle Pitts","TE","ATL","Coach","7553","","None","None",""
"Hunter Henry","TE","NE","Coach","3214","","None","None",""
"Mason Taylor","TE","NYJ","Coach","12498","","None","None",""
"HOU","DEF","HOU","Coach","HOU","","None","None",""
"SF","DEF","SF","Coach","SF","","None","None",""
"Justin Herbert","QB","LAC","Commissioner of Power","6797","1","None","None",""
"Matthew Stafford","QB","LAR","Commissioner of Power","421","2","None","None",""
"Zach Wilson","QB","NO","Commissioner of Power","7538","2","None","None",""
"Bijan Robinson","RB","ATL","Commissioner of Power","9509","3","None","None",""
"Chuba Hubbard","RB","CAR","Commissioner of Power","7594","","None","None",""
"Kenneth Gainwell","RB","TB","Commissioner of Power","7567","","None","None",""
"Kyle Monangai","RB","CHI","Commissioner of Power","12534","2","None","None",""
"Ollie Gordon","RB","MIA","Commissioner of Power","12495","","None","None",""
"Tyjae Spears","RB","TEN","Commissioner of Power","9508","2","None","None",""
"Brian Thomas","WR","JAX","Commissioner of Power","11631","5","None","None",""
"Chris Godwin","WR","TB","Commissioner of Power","4037","2","true","2025",""
"Mike Evans","WR","SF","Commissioner of Power","2216","","None","2023",""
"Wan'Dale Robinson","WR","TEN","Commissioner of Power","8126","1","None","None",""
"Adonai Mitchell","WR","NYJ","Commissioner of Power","11625","2","None","None",""
"Cooper Kupp","WR","SEA","Commissioner of Power","4039","1","true","2025",""
"Dyami Brown","WR","WAS","Commissioner of Power","7587","1","None","None",""
"Isaiah Bond","WR","CLE","Commissioner of Power","12503","","None","None",""
"Jahan Dotson","WR","ATL","Commissioner of Power","8119","1","None","None",""
"Kendrick Bourne","WR","ARI","Commissioner of Power","4454","","None","None",""
"Mike Williams","WR","FA","Commissioner of Power","4068","1","None","None",""
"Harold Fannin","TE","CLE","Commissioner of Power","12506","2","None","None",""
"Ben Sinnott","TE","WAS","Commissioner of Power","11596","1","None","None",""
"Michael Mayer","TE","LV","Commissioner of Power","9482","1","None","None",""
"Sam LaPorta","TE","DET","Commissioner of Power","10859","3","None","None",""
"ATL","DEF","ATL","Commissioner of Power","ATL","","None","None",""
"SEA","DEF","SEA","Commissioner of Power","SEA","","None","None",""
"Jordan Love","QB","GB","Epstein’s Client List","6804","4","None","None",""
"Jaxson Dart","QB","NYG","Epstein’s Client List","12508","3","None","None",""
"Tua Tagovailoa","QB","ATL","Epstein’s Client List","6768","1","None","None",""
"Quinshon Judkins","RB","CLE","Epstein’s Client List","12512","3","None","None",""
"Samaje Perine","RB","CIN","Epstein’s Client List","4147","","None","None",""
"Cam Skattebo","RB","NYG","Epstein’s Client List","12481","2","None","None",""
"James Conner","RB","ARI","Epstein’s Client List","4137","1","None","None",""
"Christian Watson","WR","GB","Epstein’s Client List","8167","2","None","None",""
"John Metchie","WR","CAR","Epstein’s Client List","8147","2","None","None",""
"JuJu Smith-Schuster","WR","FA","Epstein’s Client List","4040","","None","None",""
"Rashod Bateman","WR","BAL","Epstein’s Client List","7571","2","None","None",""
"Xavier Worthy","WR","KC","Epstein’s Client List","11624","5","None","None",""
"Brandon Aiyuk","WR","SF","Epstein’s Client List","6803","","None","None",""
"Christian Kirk","WR","SF","Epstein’s Client List","4950","","None","None",""
"DeAndre Hopkins","WR","FA","Epstein’s Client List","1426","","None","None",""
"Jalin Hyatt","WR","NYG","Epstein’s Client List","9497","2","None","None",""
"Rondale Moore","WR","FA","Epstein’s Client List","7601","","None","None",""
"Skyy Moore","WR","GB","Epstein’s Client List","8168","3","None","None",""
"Tre' Harris","WR","LAC","Epstein’s Client List","12509","3","None","None",""
"Brenton Strange","TE","JAX","Epstein’s Client List","9480","1","None","None",""
"Cole Kmet","TE","CHI","Epstein’s Client List","6826","1","None","None",""
"David Njoku","TE","FA","Epstein’s Client List","4033","","None","None",""
"DEN","DEF","DEN","Epstein’s Client List","DEN","","None","None",""
"NYJ","DEF","NYJ","Epstein’s Client List","NYJ","","None","None",""
"Trevor Lawrence","QB","JAX","Hillschmeier Farms","7523","2","None","None",""
"Hendon Hooker","QB","FA","Hillschmeier Farms","9998","1","None","None",""
"Jacoby Brissett","QB","ARI","Hillschmeier Farms","3257","","None","None",""
"Kyler Murray","QB","MIN","Hillschmeier Farms","5849","2","None","None",""
"Jaylen Warren","RB","PIT","Hillschmeier Farms","8228","","None","None",""
"RJ Harvey","RB","DEN","Hillschmeier Farms","12489","5","None","None",""
"Brian Robinson","RB","ATL","Hillschmeier Farms","8154","","None","None",""
"Jacory Croskey-Merritt","RB","WAS","Hillschmeier Farms","12533","","None","None",""
"Tyler Allgeier","RB","ARI","Hillschmeier Farms","8132","","None","None",""
"Courtland Sutton","WR","DEN","Hillschmeier Farms","5045","2","true","2025",""
"DeVonta Smith","WR","PHI","Hillschmeier Farms","7525","1","None","None",""
"Jauan Jennings","WR","FA","Hillschmeier Farms","7049","2","None","None",""
"Jaxon Smith-Njigba","WR","SEA","Hillschmeier Farms","9488","3","None","None",""
"Nico Collins","WR","HOU","Hillschmeier Farms","7569","","None","None",""
"Alec Pierce","WR","IND","Hillschmeier Farms","8142","","None","None",""
"Calvin Austin","WR","NYG","Hillschmeier Farms","8125","","None","None",""
"Darius Slayton","WR","NYG","Hillschmeier Farms","6149","","None","None",""
"Ja'Lynn Polk","WR","NO","Hillschmeier Farms","11619","1","None","None",""
"Jermaine Burton","WR","FA","Hillschmeier Farms","11640","1","None","None",""
"Rashid Shaheed","WR","SEA","Hillschmeier Farms","8676","1","None","None",""
"Jake Ferguson","TE","DAL","Hillschmeier Farms","8110","","None","None",""
"Elijah Arroyo","TE","SEA","Hillschmeier Farms","12521","1","None","None",""
"Theo Johnson","TE","NYG","Hillschmeier Farms","11597","","None","None",""
"DET","DEF","DET","Hillschmeier Farms","DET","","None","None",""
"CAR","DEF","CAR","Hillschmeier Farms","CAR","","None","None",""
"MIN","DEF","MIN","Hillschmeier Farms","MIN","","None","None",""
"Jared Goff","QB","DET","Marginally Alpha","3163","","None","None",""
"Caleb Williams","QB","CHI","Marginally Alpha","11560","5","None","None",""
"Kenny Pickett","QB","CAR","Marginally Alpha","8160","1","None","None",""
"Mac Jones","QB","SF","Marginally Alpha","7527","2","None","None",""
"De'Von Achane","RB","MIA","Marginally Alpha","9226","2","None","None",""
"Isiah Pacheco","RB","DET","Marginally Alpha","8205","1","None","None",""
"Dylan Sampson","RB","CLE","Marginally Alpha","12469","2","None","None",""
"Emanuel Wilson","RB","SEA","Marginally Alpha","11435","","None","None",""
"Isaiah Davis","RB","NYJ","Marginally Alpha","11571","","None","None",""
"Rachaad White","RB","WAS","Marginally Alpha","8136","1","None","None",""
"DJ Moore","WR","BUF","Marginally Alpha","4983","","None","None",""
"Emeka Egbuka","WR","TB","Marginally Alpha","12514","6","None","None",""
"Quentin Johnston","WR","LAC","Marginally Alpha","9754","3","None","None",""
"Terry McLaurin","WR","WAS","Marginally Alpha","5927","1","None","None",""
"Greg Dortch","WR","DET","Marginally Alpha","5970","","None","None",""
"Marvin Mims","WR","DEN","Marginally Alpha","9494","2","None","None",""
"Ricky Pearsall","WR","SF","Marginally Alpha","11638","2","None","None",""
"Treylon Burks","WR","WAS","Marginally Alpha","8135","3","None","None",""
"Tyreek Hill","WR","FA","Marginally Alpha","3321","3","None","2024",""
"Tyrell Shavers","WR","BUF","Marginally Alpha","11377","","None","None",""
"Xavier Legette","WR","CAR","Marginally Alpha","11626","2","None","None",""
"Colston Loveland","TE","CHI","Marginally Alpha","12517","6","None","None",""
"Travis Kelce","TE","KC","Marginally Alpha","1466","","None","None",""
"Darnell Washington","TE","PIT","Marginally Alpha","9479","","None","None",""
"NO","DEF","NO","Marginally Alpha","NO","","None","None",""
"DAL","DEF","DAL","Marginally Alpha","DAL","","None","None",""
"Joe Burrow","QB","CIN","Proud Boys ","6770","1","None","None",""
"Brock Purdy","QB","SF","Proud Boys ","8183","","None","None",""
"Geno Smith","QB","NYJ","Proud Boys ","1373","2","None","None",""
"Marcus Mariota","QB","WAS","Proud Boys ","2307","","None","None",""
"Trey Lance","QB","LAC","Proud Boys ","7610","2","None","None",""
"Josh Jacobs","RB","GB","Proud Boys ","5850","","None","None",""
"Omarion Hampton","RB","LAC","Proud Boys ","12507","4","None","None",""
"Saquon Barkley","RB","PHI","Proud Boys ","4866","2","true","2025",""
"Devin Neal","RB","NO","Proud Boys ","12476","","None","None",""
"Devin Singletary","RB","NYG","Proud Boys ","6130","","None","None",""
"J.K. Dobbins","RB","DEN","Proud Boys ","6806","","None","None",""
"Chris Olave","WR","NO","Proud Boys ","8144","3","None","None",""
"Jaylen Waddle","WR","DEN","Proud Boys ","7526","","None","None",""
"Stefon Diggs","WR","FA","Proud Boys ","2449","","None","None",""
"Tetairoa McMillan","WR","CAR","Proud Boys ","12526","6","None","None",""
"Curtis Samuel","WR","FA","Proud Boys ","4082","","None","None",""
"Jonathan Mingo","WR","DAL","Proud Boys ","10225","","None","None",""
"Khalil Shakir","WR","BUF","Proud Boys ","8134","3","None","None",""
"Rome Odunze","WR","CHI","Proud Boys ","11620","5","None","None",""
"Dallas Goedert","TE","PHI","Proud Boys ","5022","","None","None",""
"Cade Otton","TE","TB","Proud Boys ","8111","","None","None",""
"Dalton Kincaid","TE","BUF","Proud Boys ","10236","2","None","None",""
"Darren Waller","TE","FA","Proud Boys ","2505","","None","None",""
"BAL","DEF","BAL","Proud Boys ","BAL","","None","None",""
"CLE","DEF","CLE","Proud Boys ","CLE","","None","None",""
"Jalen Hurts","QB","PHI","Slippery007","6904","","None","None",""
"Michael Penix","QB","ATL","Slippery007","11559","2","None","None",""
"Sam Darnold","QB","SEA","Slippery007","4943","1","None","None",""
"Shedeur Sanders","QB","CLE","Slippery007","12524","1","None","None",""
"Aaron Jones","RB","MIN","Slippery007","4199","1","None","None",""
"Breece Hall","RB","NYJ","Slippery007","8155","2","None","None",""
"David Montgomery","RB","HOU","Slippery007","5892","","None","None",""
"Jordan Mason","RB","MIN","Slippery007","8408","1","None","None",""
"Jeremy McNichols","RB","WAS","Slippery007","4219","","None","None",""
"Jerome Ford","RB","WAS","Slippery007","8143","","None","None",""
"Joe Mixon","RB","FA","Slippery007","4018","1","None","None",""
"Jonathon Brooks","RB","CAR","Slippery007","11583","4","None","None",""
"Kareem Hunt","RB","FA","Slippery007","4098","","None","None",""
"Nick Chubb","RB","FA","Slippery007","4988","","None","None",""
"Trey Benson","RB","ARI","Slippery007","11589","2","None","None",""
"Zonovan Knight","RB","ARI","Slippery007","8122","","None","None",""
"Ja'Marr Chase","WR","CIN","Slippery007","7564","2","None","None",""
"Jerry Jeudy","WR","CLE","Slippery007","6783","1","None","None",""
"Josh Downs","WR","IND","Slippery007","9500","3","None","None",""
"Andrei Iosivas","WR","CIN","Slippery007","10226","","None","None",""
"Rashee Rice","WR","KC","Slippery007","10229","","None","None",""
"George Kittle","TE","SF","Slippery007","4217","1","None","None",""
"AJ Barner","TE","SEA","Slippery007","11603","","None","None",""
"Evan Engram","TE","DEN","Slippery007","4066","","None","None",""
"KC","DEF","KC","Slippery007","KC","","None","None",""
"PIT","DEF","PIT","Slippery007","PIT","","None","None",""
"Dak Prescott","QB","DAL","The Dak Night Rises!","3294","","None","None",""
"Bo Nix","QB","DEN","The Dak Night Rises!","11563","1","None","None",""
"Bucky Irving","RB","TB","The Dak Night Rises!","11584","2","None","None",""
"Tyrone Tracy","RB","NYG","The Dak Night Rises!","11655","1","None","None",""
"Woody Marks","RB","HOU","The Dak Night Rises!","12474","2","None","None",""
"Jaylen Wright","RB","MIA","The Dak Night Rises!","11643","2","None","None",""
"Kaleb Johnson","RB","PIT","The Dak Night Rises!","12504","4","None","None",""
"Keaton Mitchell","RB","LAC","The Dak Night Rises!","9511","1","None","None",""
"Kimani Vidal","RB","LAC","The Dak Night Rises!","11647","1","None","None",""
"Sean Tucker","RB","TB","The Dak Night Rises!","9506","","None","None",""
"Drake London","WR","ATL","The Dak Night Rises!","8112","3","None","None",""
"Luther Burden","WR","CHI","The Dak Night Rises!","12519","6","None","None",""
"Parker Washington","WR","JAX","The Dak Night Rises!","9487","","None","None",""
"Romeo Doubs","WR","NE","The Dak Night Rises!","8121","1","None","None",""
"Dontayvion Wicks","WR","GB","The Dak Night Rises!","9486","3","None","None",""
"Elic Ayomanor","WR","TEN","The Dak Night Rises!","12499","3","None","None",""
"Jacob Cowing","WR","SF","The Dak Night Rises!","11616","1","None","None",""
"KeAndre Lambert-Smith","WR","LAC","The Dak Night Rises!","12670","2","None","None",""
"Mack Hollins","WR","NE","The Dak Night Rises!","4177","","None","None",""
"Marvin Harrison","WR","ARI","The Dak Night Rises!","11628","5","None","None",""
"Pat Bryant","WR","DEN","The Dak Night Rises!","12492","3","None","None",""
"Travis Hunter","WR","JAX","The Dak Night Rises!","12530","5","None","None",""
"Trey McBride","TE","ARI","The Dak Night Rises!","8130","4","true","2025",""
"Brock Bowers","TE","LV","The Dak Night Rises!","11604","4","None","None",""
"Terrance Ferguson","TE","LAR","The Dak Night Rises!","12487","3","None","None",""
"PHI","DEF","PHI","The Dak Night Rises!","PHI","","None","None",""
"Josh Allen","QB","BUF","TME","4984","3","None","2024",""
"Cam Ward","QB","TEN","TME","12522","2","None","None",""
"Deshaun Watson","QB","CLE","TME","4017","","None","None",""
"D'Andre Swift","RB","CHI","TME","6790","1","None","None",""
"TreVeyon Henderson","RB","NE","TME","12529","4","None","None",""
"Blake Corum","RB","LAR","TME","11586","2","None","None",""
"Michael Carter","RB","FA","TME","7607","","None","None",""
"Tank Bigsby","RB","PHI","TME","9225","1","None","None",""
"Deebo Samuel","WR","FA","TME","5872","","None","None",""
"George Pickens","WR","DAL","TME","8137","1","None","None",""
"Jakobi Meyers","WR","JAX","TME","5947","1","None","None",""
"Keenan Allen","WR","FA","TME","1479","","None","None",""
"Michael Wilson","WR","ARI","TME","10232","","None","None",""
"Darnell Mooney","WR","NYG","TME","7090","1","None","None",""
"Jalen Royals","WR","KC","TME","12505","2","None","None",""
"Jaylin Noel","WR","HOU","TME","12536","1","None","None",""
"Jordan Addison","WR","MIN","TME","9756","3","None","None",""
"Joshua Palmer","WR","BUF","TME","7670","","None","None",""
"Keon Coleman","WR","BUF","TME","11637","4","None","None",""
"Malik Washington","WR","MIA","TME","11610","","None","None",""
"Tyler Lockett","WR","FA","TME","2374","1","None","None",""
"T.J. Hockenson","TE","MIN","TME","5844","","None","None",""
"Ja'Tavion Sanders","TE","CAR","TME","11600","1","None","None",""
"Zach Ertz","TE","FA","TME","1339","","None","None",""
"WAS","DEF","WAS","TME","WAS","","None","None",""
"NE","DEF","NE","TME","NE","","None","None",""
"Lamar Jackson","QB","BAL","TylerPrice12","4881","2","true","2025",""
"Anthony Richardson","QB","IND","TylerPrice12","9229","4","None","None",""
"Spencer Rattler","QB","NO","TylerPrice12","11562","","None","None",""
"Chase Brown","RB","CIN","TylerPrice12","9224","","None","None",""
"Kyren Williams","RB","LAR","TylerPrice12","8150","2","None","2024",""
"Braelon Allen","RB","NYJ","TylerPrice12","11576","2","None","None",""
"Brashard Smith","RB","KC","TylerPrice12","12455","","None","None",""
"Emari Demercado","RB","KC","TylerPrice12","11199","","None","None",""
"Tony Pollard","RB","TEN","TylerPrice12","5967","","None","None",""
"Will Shipley","RB","PHI","TylerPrice12","11577","","None","None",""
"Jalen Coker","WR","CAR","TylerPrice12","11646","1","None","None",""
"Jameson Williams","WR","DET","TylerPrice12","8148","3","None","None",""
"Ladd McConkey","WR","LAC","TylerPrice12","11635","3","None","None",""
"Puka Nacua","WR","LAR","TylerPrice12","9493","3","None","None",""
"Zay Flowers","WR","BAL","TylerPrice12","9997","3","None","None",""
"Chimere Dike","WR","TEN","TylerPrice12","12540","","None","None",""
"Jalen McMillan","WR","TB","TylerPrice12","11618","2","None","None",""
"Jayden Higgins","WR","HOU","TylerPrice12","12484","4","None","None",""
"Tory Horton","WR","SEA","TylerPrice12","12497","2","None","None",""
"Tre Tucker","WR","LV","TylerPrice12","10213","","None","None",""
"Oronde Gadsden","TE","LAC","TylerPrice12","12493","","None","None",""
"Isaiah Likely","TE","NYG","TylerPrice12","8131","1","None","None",""
"Luke Musgrave","TE","GB","TylerPrice12","9481","2","None","None",""
"Noah Fant","TE","NO","TylerPrice12","5857","","None","None",""
"Tucker Kraft","TE","GB","TylerPrice12","9484","","None","None",""
"LAR","DEF","LAR","TylerPrice12","LAR","","None","None",""
